ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
768
ITEM: BOX BOUNDS ss pp pp
-6.6502451872036172e-01 4.2278819267736196e+01
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
504 1.26021 0.333578 -0.599639
506 0.335804 -2.05693 0.563224
508 -1.73878 0.460374 -0.507234
567 1.07371 -0.340107 -4.61144
569 -1.91309 1.37909 -1.21477
571 2.0181 0.127082 -1.1952
585 -0.546283 1.7708 -1.48157
568 2.77185 -1.56451 1.7597
570 -1.55753 -0.425424 0.812878
572 3.12614 -0.904174 1.08828
631 0.189208 2.53385 0.01995
633 -0.022967 -0.588524 3.20134
635 -0.453222 1.25803 1.45841
632 4.69174 -3.94584 -2.62073
634 0.223686 -0.752535 0.0878784
636 -1.10694 0.113918 0.311966
695 -1.61949 -0.800582 2.97447
697 -0.740322 -0.877957 -1.95961
699 0.653395 -0.390398 -0.944984
698 -0.234101 -3.35024 2.55634
700 2.84902 0.914027 0.5916
652 1.2158 -2.57345 -2.47414
696 -0.592243 -2.55072 -0.610391
716 -0.724725 0.981155 0.820627
759 0.79839 -4.38541 0.0846136
760 2.80953 -1.5976 -1.51191
761 2.964 0.00428639 -3.1767
762 0.473181 2.35549 -1.16409
763 2.98759 -1.97546 -1.89649
764 -0.395975 -2.96489 1.06264
17 -0.285168 1.4306 1.66746
2 -1.70409 0.267799 0.453261
14 -2.32671 1.46108 2.54733
15 0.884286 3.26819 2.15413
29 -3.46711 -1.28487 -2.62239
32 -4.46884 1.53571 0.144089
16 -2.05048 -2.53999 2.08719
79 -4.03339 -1.87529 1.67126
93 -1.54952 0.629965 0.57007
81 -1.2384 1.79859 0.174691
78 3.13962 0.587064 -1.3751
96 -1.08641 3.42266 -0.0779864
143 -3.4524 -1.04605 4.65819
157 -3.20948 2.2612 -1.88706
141 0.337695 -0.850925 -0.392151
80 -3.43167 -1.56102 0.145756
142 0.397047 -4.37535 -1.3175
160 -1.32703 -2.1345 -1.52188
207 0.0148437 1.80659 3.30932
221 -3.18913 -0.0492193 0.310458
257 -1.29178 0.548516 -0.59403
206 -0.162711 -0.499589 0.517793
224 1.79507 -3.02177 4.10169
271 -0.761047 1.28423 -0.47238
285 -4.43929 0.899987 -0.0208104
337 2.8102 -2.78507 -0.71945
270 -2.39098 -2.09843 2.24889
288 2.90909 0.425327 -1.64577
335 -2.37202 -2.82662 -1.74336
349 -1.52422 -0.278421 -0.877498
401 -0.625304 -1.61533 -0.757517
385 -0.640572 0.124551 -0.539988
334 -0.437464 0.737152 0.156614
352 1.52931 -1.54349 3.88407
399 -0.0463492 -2.39941 3.37887
413 0.954334 1.27779 -3.54735
386 0.178701 3.72879 0.435018
465 -0.845451 0.372046 -0.118429
398 2.66876 -0.480164 1.06264
416 0.628985 -3.35384 1.38304
463 1.25584 -2.08141 0.217654
477 -2.57961 1.56209 -0.32471
400 1.13186 -2.17141 -2.26665
450 0.1488 -0.699116 5.68458
462 4.58276 -0.977474 -2.88908
480 -1.98034 0.83977 -0.678218
527 1.98429 2.72476 -1.70635
541 -0.0156133 2.42716 -1.45883
525 -1.57579 2.13749 -0.845296
514 -0.10371 -0.689673 2.9767
526 1.17681 1.05631 1.49404
544 0.584707 2.0069 -2.37396
591 1.86505 0.28406 2.22081
605 0.24492 2.07505 -3.29695
589 -1.18619 0.529992 -0.707621
578 -0.483579 -1.96255 -0.813127
657 1.37819 1.82071 1.00972
590 1.81778 2.87289 0.508942
608 -0.585784 0.759447 1.1467
655 -1.20358 -3.1518 0.6813
669 -0.35831 -0.0506546 -1.5636
654 -2.00542 0.724014 -0.979015
653 -2.60283 -1.08098 -0.57872
592 0.485575 1.51998 1.36812
721 -3.92992 1.42574 1.79271
